phrase_text,phrase_type,occurrences,doc_freq,avg_len_char,avg_len_tokens,top_label_by_PMI,top_label_PMI,label_purity,label_entropy,label_Care_Coordination_docfreq,label_Diagnostics_docfreq,label_Drugs_docfreq,label_General_information_docfreq,label_Scheduling_appt_docfreq,label_Symptoms_docfreq,label_Care_Coordination_PMI,label_Diagnostics_PMI,label_Drugs_PMI,label_General_information_PMI,label_Scheduling_appt_PMI,label_Symptoms_PMI
the office MM/DD/YYYY,NP,2,1,21,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
in shape,PP,2,1,8,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
shape,NP,2,1,5,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
a review,NP,2,1,8,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
with Dr  Person1,PP,4,2,16,3,Care_Coordination,2.585,1.0,0.0,2,0,0,0,0,0,2.585,,,,,
re next steps,PP,2,1,13,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
to give,VP,2,1,7,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
this message,NP,2,1,12,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
asked,VP,4,3,5,1,Care_Coordination,2.0,0.6667,0.918296,2,0,0,1,0,0,2.0,,,1.0,,
office,NP,2,1,6,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
with appt,PP,2,1,9,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
appt,NP,2,1,4,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
my PSA,NP,7,4,6,2,Diagnostics,2.585,1.0,0.0,0,4,0,0,0,0,,2.585,,,,
in MM/DD/YYYY blood,PP,3,2,19,3,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
MM/DD/YYYY blood,NP,3,2,16,2,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
draw,VP,5,3,4,1,Diagnostics,2.585,1.0,0.0,0,3,0,0,0,0,,2.585,,,,
was wondering,VP,8,5,13,2,Diagnostics,1.848,0.6,0.970951,0,3,2,0,0,0,,1.848,1.263,,,
had measured,VP,3,2,12,2,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
would need,VP,2,1,10,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
to follow up,VP,2,1,12,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
do not see,VP,3,2,10,3,Care_Coordination,1.585,0.5,1.0,1,0,1,0,0,0,1.585,,1.585,,,
with Dr. Person2 office,PP,1,1,23,4,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Dr. Person2 office,NP,1,1,18,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
following,VP,4,2,9,1,Care_Coordination,1.585,0.5,1.0,1,0,1,0,0,0,1.585,,1.585,,,
my pain,NP,2,1,7,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
has increased,VP,2,1,13,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
in the past couple,PP,2,1,18,4,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
the past couple,NP,2,1,15,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
of days,PP,2,1,7,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
days,NP,2,1,4,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
to be happening,VP,1,1,15,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
my blood,NP,1,1,8,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
A test result,NP,2,1,13,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
for CEA,PP,2,1,7,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
CEA,NP,2,1,3,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
don't know,VP,2,1,10,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
My left hip,NP,1,1,11,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
tail,NP,1,1,4,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
My left hip and tail bone,NP,1,1,25,6,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
are hurting,VP,1,1,11,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
my next visit,NP,3,2,13,3,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
to Org3,PP,3,2,7,2,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
traveling immediately following,VP,3,2,31,3,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
immediately,ADVP,3,2,11,1,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
Dr Person1,NP,4,2,10,2,Care_Coordination,1.585,0.5,1.0,1,1,0,0,0,0,1.585,1.585,,,,
talk,VP,2,1,4,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
about the blood density test,PP,2,1,28,5,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
the blood density test,NP,2,1,22,4,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
Are,VP,2,1,3,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
any suggestions,NP,2,1,15,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
can take,VP,2,1,8,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
cannot confirm,VP,3,2,14,2,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
the exact time,NP,3,2,14,3,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
trying,VP,2,1,6,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
to plan,VP,2,1,7,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
a visit,NP,2,1,7,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
to LOCATION,PP,2,1,11,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
for a month,PP,2,1,11,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
a month,NP,2,1,7,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
soon,ADVP,4,2,4,1,Care_Coordination,1.585,0.5,1.0,1,0,0,1,0,0,1.585,,,1.585,,
the treatment,NP,2,1,13,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
has ended,VP,2,1,9,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
is happening,VP,2,1,12,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
off,ADVP,2,1,3,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
my MM/DD/YYYY bloodwork,NP,2,1,23,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
done,VP,8,4,4,1,Diagnostics,2.585,1.0,0.0,0,4,0,0,0,0,,2.585,,,,
Patients,NP,2,1,8,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
on PI3 kinase inhibitors,PP,2,1,24,4,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
PI3 kinase inhibitors,NP,2,1,21,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
like Person2,PP,2,1,12,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
a type,NP,2,1,6,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
of pneumonia,PP,2,1,12,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
pneumonia,NP,2,1,9,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
called,VP,4,2,6,1,Care_Coordination,1.585,0.5,1.0,1,0,1,0,0,0,1.585,,1.585,,,
PCP pneumonia,NP,2,1,13,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
From MM/DD/YYYY,PP,2,2,15,2,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
saw,VP,3,2,3,1,Care_Coordination,1.585,0.5,1.0,1,1,0,0,0,0,1.585,1.585,,,,
the results,NP,4,2,11,2,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
of the CT abdomen,PP,2,1,17,4,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
abdomen,VP,1,1,7,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
pelvis test,NP,2,1,11,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
the CT abdomen,NP,1,1,14,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
2 years,NP,1,1,7,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
since my neck surgery,PP,1,1,21,4,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
my neck surgery,NP,1,1,15,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
am still having,VP,2,1,15,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
issues,NP,2,1,6,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
with my eyelid drooping,PP,2,1,23,4,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
my eyelid drooping,NP,2,1,18,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
the pupil,NP,2,1,9,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
dilating,VP,2,1,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
had ordered,VP,4,2,11,2,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
both tumor markers,NP,4,2,18,3,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
The good doctor,NP,2,1,15,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
swamped,VP,2,1,7,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
in a emails,PP,2,1,11,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
a emails,NP,2,1,8,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
she,NP,7,5,3,1,General_information,1.263,0.4,1.521928,1,0,0,2,2,0,0.263,,,1.263,1.263,
wants,VP,2,1,5,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
to make,VP,1,1,7,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
sees,VP,1,1,4,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
because of the taxol,PP,2,1,20,4,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
the taxol,NP,2,1,9,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
our office,NP,2,1,10,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
at XXX-XXX-XXXX,PP,4,2,15,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
these appts,NP,1,1,11,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
At our last appointment,PP,4,2,23,4,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
our last appointment,NP,4,2,20,3,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
discussed,VP,6,3,9,1,Diagnostics,2.0,0.6667,0.918296,1,2,0,0,0,0,1.0,2.0,,,,
the cancer antigen test,NP,4,2,23,4,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
at my next blood work,PP,4,2,21,5,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
my next blood work,NP,4,2,18,4,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
to compare,VP,2,1,10,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
to come in,VP,2,1,10,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
next,ADVP,2,1,4,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
for a check,PP,2,1,11,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
a check,NP,2,1,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
do I have,VP,1,1,9,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
can review,VP,2,1,10,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
the next one,NP,2,1,12,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
should have been,VP,2,1,16,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
around MM/DD/YYYY,PP,2,1,17,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
later,ADVP,2,1,5,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
let,VP,6,4,3,1,Care_Coordination,1.585,0.5,1.5,2,1,0,0,1,0,1.585,0.585,,,0.585,
a look,NP,1,1,6,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
advise,VP,4,2,6,1,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
to submit,VP,2,1,9,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
to G Hosp,PP,1,1,9,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
G Hosp,NP,1,1,6,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
Did the flexeril not help,VP,2,1,25,5,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
the flexeril,NP,2,1,12,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
a tough day,NP,2,1,11,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
with pain MM/DD/YYYY,PP,1,1,20,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
pain MM/DD/YYYY,NP,1,1,15,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
is having,VP,1,1,9,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
with pain,PP,1,1,9,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
taken,VP,2,1,5,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
as one tablet,PP,2,1,13,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
can hold off,VP,2,1,12,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
starting,VP,4,2,8,1,Drugs,2.585,1.0,0.0,0,0,2,0,0,0,,,2.585,,,
the Ibrance,NP,2,1,11,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
could refill,VP,2,1,12,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
this RX,NP,4,3,7,2,Drugs,2.585,1.0,0.0,0,0,3,0,0,0,,,2.585,,,
for me,PP,5,4,6,2,Drugs,1.585,0.5,1.5,1,1,2,0,0,0,0.585,0.585,1.585,,,
for the pain,PP,1,1,12,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
the pain,NP,1,1,8,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
have asked,VP,4,2,10,2,Care_Coordination,1.585,0.5,1.0,1,0,0,0,1,0,1.585,,,,1.585,
to send,VP,4,2,7,2,Care_Coordination,2.585,1.0,0.0,2,0,0,0,0,0,2.585,,,,,
signed,VP,2,1,6,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
was trending,VP,1,1,12,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
was trending down,VP,1,1,17,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
which,NP,3,2,5,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
can be,VP,5,3,6,2,Symptoms,2.0,0.6667,0.918296,0,0,1,0,0,2,,,1.0,,,2.0
pretty,ADVP,5,3,6,1,Symptoms,2.0,0.6667,0.918296,0,0,1,0,0,2,,,1.0,,,2.0
Labs,NP,2,1,4,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
have been,VP,4,2,9,2,Diagnostics,1.585,0.5,1.0,0,1,0,1,0,0,,1.585,,1.585,,
order,NP,2,1,5,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
for the attention,PP,2,1,17,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
the attention,NP,2,1,13,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
of Dr. Person3,PP,2,1,14,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Lymphoma Department,NP,1,1,19,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
at Org1,PP,1,1,7,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Org1,NP,1,1,4,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Can I go,VP,2,1,8,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
before MM/DD/YYYY,PP,1,1,17,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
messaged,VP,2,1,8,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
pharmacy,NP,2,1,8,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
to release,VP,2,1,10,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
to review,VP,3,2,9,2,Care_Coordination,2.585,1.0,0.0,2,0,0,0,0,0,2.585,,,,,
here,ADVP,2,1,4,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
his thoughts,NP,1,1,12,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
can see,VP,4,2,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
rescheduled,VP,1,1,11,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
m preparing,VP,2,1,11,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
for surgery,PP,2,1,11,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
surgery,NP,2,1,7,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
to me,PP,2,1,5,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
advised,VP,2,2,7,1,Care_Coordination,1.585,0.5,1.0,1,1,0,0,0,0,1.585,1.585,,,,
long,ADVP,2,1,4,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
has this been going on,VP,2,1,22,5,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
can you tell,VP,2,1,12,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
about my results,PP,2,1,16,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
my results,NP,2,1,10,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
My youngest son,NP,2,1,15,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
has,VP,4,3,3,1,General_information,2.0,0.6667,0.918296,0,0,0,2,0,1,,,,2.0,,1.0
MS,NP,2,1,2,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
were,VP,6,3,4,1,Scheduling_appt,2.0,0.6667,0.918296,0,0,0,1,2,0,,,,1.0,2.0,
to move up,VP,2,1,10,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
the imaging,NP,2,1,11,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
(just another marker,NP,2,2,20,3,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
in this situation,PP,4,2,17,3,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
this situation,NP,4,2,14,2,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
to the CA27.29,PP,4,2,14,3,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
adding,VP,2,2,6,1,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
just another marker,NP,2,2,19,3,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
Script,NP,2,1,6,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
will be sent over,VP,2,1,17,4,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
to the pharmacy,PP,2,1,15,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
the pharmacy,NP,2,1,12,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
normal clear yellow,NP,1,1,19,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
clear,ADVP,1,1,5,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
the false blood,NP,2,1,15,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
in the urine,PP,2,1,12,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
the urine,NP,2,1,9,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
cause,VP,2,1,5,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
drinking,VP,2,1,8,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
beet juice,NP,2,1,10,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
set up,VP,2,1,6,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
a  fax/phone number/person,NP,2,1,26,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
Thanks  Person2,NP,1,1,15,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
to you,PP,2,2,6,2,Care_Coordination,1.585,0.5,1.0,1,0,0,1,0,0,1.585,,,1.585,,
up,ADVP,1,1,2,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
the lymph node biopsy procedure,NP,2,1,31,5,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
prior,ADVP,2,1,5,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
to my SABR treatment,PP,2,1,20,4,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
my SABR treatment,NP,2,1,17,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
Could you please tell,VP,1,1,21,4,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
who,NP,1,1,3,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
should be following up,VP,1,1,22,4,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
because of the prednisone,PP,1,1,25,4,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
the prednisone,NP,2,1,14,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Could you please confirm,VP,2,1,24,4,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
your fax number,NP,2,1,15,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
Most people,NP,2,1,11,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
tolerate,VP,2,1,8,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
per week,PP,2,1,8,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
week,NP,2,1,4,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
for 230,PP,2,1,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
will stop,VP,2,1,9,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
by your office,PP,2,1,14,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
afterward,ADVP,2,1,9,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
have not completely recovered,VP,2,1,29,4,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
completely,ADVP,2,1,10,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
from the surgery,PP,2,1,16,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
the surgery,NP,2,1,11,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
was just looking,VP,2,1,16,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
at my calendar,PP,2,1,14,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
my calendar,NP,2,1,11,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
realized,VP,2,1,8,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
my next appt,NP,1,1,12,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
need,VP,6,3,4,1,Drugs,1.0,0.3333,1.584963,0,0,1,1,1,0,,,1.0,1.0,1.0,
a refill,NP,4,2,8,2,Drugs,2.585,1.0,0.0,0,0,2,0,0,0,,,2.585,,,
for the above,PP,2,1,13,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
will ask,VP,4,2,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
will call,VP,4,3,9,2,Scheduling_appt,2.0,0.6667,0.918296,0,0,0,1,2,0,,,,1.0,2.0,
will,VP,2,1,4,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
